ODMR measurement
Date: 2020_07_30, 16:51
ODMR settings:
Minimum [MHz]: 2600.000000 
Maximum [MHz]: 3000.000000 
Step [MHz]: 5.000000 
Repeat [#]: 4 
Sequence: [(['Laser'], 300), ([], 800), (['Mw'], 100), ([], 300)] 
Cam settings:
Hardware AOI: [0, 0, 1280, 1024] 
Software AOI: [766, 865, 75, 67] 
Pixelclock [MHz]: 10.000000 
Exposure [ms]: 100.000000 
Voltage [V];Frequency [MHz];Intensity [count]; Average Intensity [count]
3.76368221942;2950.0;1977955.0;1987834.0
3.8277124183;2955.0;2002155.0;1985788.0
3.8277124183;2955.0;1977071.0;1985788.0
3.8277124183;2955.0;1962218.0;1985788.0
3.8277124183;2955.0;2001708.0;1985788.0
3.89307189542;2960.0;2023542.0;2008604.25
3.89307189542;2960.0;2008741.0;2008604.25
3.89307189542;2960.0;2001264.0;2008604.25
3.89307189542;2960.0;2000870.0;2008604.25
3.9614010989;2965.0;2023857.0;2015825.25
3.9614010989;2965.0;2026030.0;2015825.25
3.9614010989;2965.0;1993456.0;2015825.25
3.9614010989;2965.0;2019958.0;2015825.25
4.03146551724;2970.0;2033646.0;2034833.25
4.03146551724;2970.0;1993964.0;2034833.25
4.03146551724;2970.0;2064819.0;2034833.25
4.03146551724;2970.0;2046904.0;2034833.25
4.10346385542;2975.0;1997614.0;2021057.5
4.10346385542;2975.0;2028088.0;2021057.5
4.10346385542;2975.0;2028519.0;2021057.5
4.10346385542;2975.0;2030009.0;2021057.5
4.17876506024;2980.0;2018156.0;2041745.25
4.17876506024;2980.0;2050870.0;2041745.25
4.17876506024;2980.0;2043828.0;2041745.25
4.17876506024;2980.0;2054127.0;2041745.25
4.25662460568;2985.0;2022325.0;2038947.5
4.25662460568;2985.0;2030764.0;2038947.5
4.25662460568;2985.0;2042097.0;2038947.5
4.25662460568;2985.0;2060604.0;2038947.5
4.33737541528;2990.0;2048629.0;2047797.5
4.33737541528;2990.0;2027189.0;2047797.5
4.33737541528;2990.0;2063736.0;2047797.5
4.33737541528;2990.0;2051636.0;2047797.5
4.42128027682;2995.0;2072570.0;2055075.0
4.42128027682;2995.0;2037487.0;2055075.0
4.42128027682;2995.0;2051762.0;2055075.0
4.42128027682;2995.0;2058481.0;2055075.0
